stname,Female,Male,18-29,30-44,45-64,65+,Bachelors,LTC,Post-grad,Black,Other,White,Republican,Democrat,Independent,Something else,percent_christian,percent_non_christian
ID,0.517473118,0.482526882,0.141129032,0.275537634,0.364247312,0.219086022,0.231182796,0.672043011,0.096774194,1.00E-06,0.02016229,0.97983971,0.381679389,0.20610687,0.332061069,0.080152672,0.67,0.33
IL,0.543917332,0.456082668,0.16439643,0.258806952,0.375293565,0.201503053,0.237200564,0.616251761,0.146547675,0.139972818,0.039925847,0.820104335,0.234177215,0.43865628,0.259493671,0.067672833,0.71,0.29
IN,0.523988711,0.476011289,0.140169332,0.219190969,0.42144873,0.219190969,0.218250235,0.687676388,0.094073377,0.077141169,0.008467604,0.914394227,0.328816621,0.351400181,0.25203252,0.067750678,0.72,0.28
KS,0.536536537,0.463463463,0.158158158,0.234234234,0.389389389,0.218218218,0.253253253,0.616616617,0.13013013,0.063064063,0.037038037,0.8999009,0.370932755,0.255965293,0.295010846,0.078091106,0.76,0.24
KY,0.523255814,0.476744186,0.146317829,0.248062016,0.390503876,0.215116279,0.149224806,0.765503876,0.085271318,0.071706426,0.015504876,0.912791698,0.366552119,0.396334479,0.199312715,0.037800687,0.76,0.24
LA,0.567602041,0.432397959,0.156887755,0.239795918,0.391581633,0.211734694,0.149234694,0.760204082,0.090561224,0.318878551,0.017858143,0.663266306,0.341836735,0.323129252,0.270408163,0.06462585,0.84,0.16
MA,0.53442623,0.46557377,0.154098361,0.21147541,0.395081967,0.239344262,0.275409836,0.539344262,0.185245902,0.051640344,0.044263295,0.904099361,0.165137615,0.339449541,0.457568807,0.037844037,0.58,0.42
MD,0.535015773,0.464984227,0.155835962,0.224605678,0.391798107,0.227760252,0.239116719,0.570347003,0.190536278,0.25362876,0.041641379,0.704732861,0.254926108,0.456896552,0.229064039,0.0591133,0.69,0.31
ME,0.520365169,0.479634831,0.109550562,0.200140449,0.434691011,0.255617978,0.217696629,0.668539326,0.113764045,0.005618978,0.019663921,0.974720101,0.313304721,0.30472103,0.317596567,0.064377682,0.6,0.4
MI,0.52739347,0.47260653,0.149418926,0.235749862,0.386275595,0.228555617,0.188157167,0.707249585,0.104593248,0.111788493,0.026564365,0.861650142,0.271117855,0.34850784,0.287809813,0.092564492,0.7,0.3
MN,0.514573397,0.485426603,0.153683095,0.250132485,0.377848437,0.218335983,0.258611553,0.627980922,0.113407525,0.035507094,0.037626861,0.926869045,0.278544542,0.363864492,0.26097867,0.096612296,0.74,0.26
MO,0.535369775,0.464630225,0.172829582,0.242765273,0.392282958,0.192122186,0.192926045,0.713022508,0.094051447,0.093248588,0.022509039,0.884245373,0.336650083,0.291044776,0.278606965,0.093698176,0.77,0.23
MS,0.523989899,0.476010101,0.178030303,0.227272727,0.361111111,0.233585859,0.164141414,0.76010101,0.075757576,0.393940394,0.011364636,0.59469797,0.40625,0.263020833,0.221354167,0.109375,0.83,0.17
MT,0.527855153,0.472144847,0.147632312,0.178272981,0.380222841,0.293871866,0.193593315,0.675487465,0.13091922,1.00E-06,0.072424398,0.927577602,0.331210191,0.242038217,0.312101911,0.114649682,0.65,0.35
NC,0.552700922,0.447299078,0.154150198,0.250329381,0.364295125,0.231225296,0.206192358,0.694334651,0.099472991,0.22859125,0.028986507,0.742425242,0.359801489,0.330024814,0.269230769,0.040942928,0.77,0.23
ND,0.508510638,0.491489362,0.196808511,0.263829787,0.372340426,0.167021277,0.25106383,0.659574468,0.089361702,0.008511638,0.065958447,0.925532915,0.372340426,0.276595745,0.308510638,0.042553191,0.77,0.23
